date,total,drawdown,unallocated_cash,invested_total,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2022-08-29,502551.7181861134,-0.0001771488671997723,417243.63352657954,50126.36996247043,35181.71469706345,37074.64373496938,6522.754944249198,3046.4112061359533,1206.3002338635404,1836.6785689630153,439.5812742893375
2022-08-30,502618.27654651407,-4.47315114244784e-05,417268.4694571466,50165.99824261966,35183.8088467478,37108.596937831244,6507.3306682381,3053.579232503332,1209.9723806941754,1844.4796990674508,442.0393242853636
2022-08-31,502613.05904713174,-5.511168707494907e-05,417293.30686604284,50133.84906000497,35185.90312108392,37123.81733911415,6507.3306682381,3035.6591665848855,1198.037903494612,1832.2904332792705,436.7135492939737
2022-09-01,502549.3427919423,-0.0001818746959787454,407318.1457533562,60043.19951850686,35187.99752007922,40445.58007551204,9899.715609377912,4549.6672714678825,1749.5914746711842,2736.4486019843093,662.1964854935411
2022-09-02,502587.8724906282,-0.00010522015118386019,407342.3908810796,60055.389565807505,35190.092043741126,40494.68413637696,9839.207116415997,4549.6672714678825,1767.3330418870387,2733.514072652423,670.9839270071994
2022-09-05,502722.95857072057,0.0,407366.63745196536,60164.134426678145,35192.18669207706,40511.902443433486,9833.945508332352,4629.579460076803,1761.8740981283142,2762.125733638318,664.707183068872
2022-09-06,502891.6383221082,0.0,407390.8854660994,60306.47139091432,35194.28146509445,40497.872711757795,9910.238825545204,4688.181731723345,1761.8740981283142,2776.064747964779,672.239275794865
2022-09-07,502934.6732310578,0.0,407415.13492356765,60323.161944689484,35196.37636280071,40499.7858569863,9931.285257879783,4698.8366902045345,1748.2267387315032,2757.7239396404875,687.3034612468507
2022-09-08,502950.91410961107,0.0,407439.38582445594,60313.05689995185,35198.47138520325,40484.48069515827,9883.930785126979,4704.164169445129,1779.6156653441687,2780.466541962609,680.3990429146907
2022-09-09,503157.79634873377,0.0,407463.6381688502,60493.59164757406,35200.56653230951,40449.08750843097,10036.517419552682,4762.766441091671,1790.5335528616176,2776.7983802977506,677.8883453393597
2022-09-13,503206.41624616465,0.0,407487.89195683645,60515.86248520127,35202.66180412691,40415.28860939407,10073.348676138197,4736.1290448886975,1835.5698388710944,2778.265644963694,677.260670945527
2022-09-14,502934.7861469808,-0.0005397985606188094,407512.14718850056,60217.88175781741,35204.75720066287,40379.257707590594,9952.331690214363,4688.181731723345,1760.5093621886335,2758.457571973459,679.1436941270252
2022-09-15,502877.1819600323,-0.0006542728302002532,407536.40386392846,60133.92537417907,35206.85272192481,40377.66341990017,9854.991940666932,4736.1290448886975,1761.8740981283145,2746.7194546459127,656.5474159490466
2022-09-16,502434.2510099258,-0.0015344900448588383,407560.66198320605,59664.64065879959,35208.948367920166,40340.99480302053,9618.219576902911,4586.9596261520455,1733.2146433950113,2734.981337318366,650.2706720107192
2022-09-19,502423.38473348494,-0.001556084118563117,407584.9215464193,59627.41904840929,35211.044138656354,40345.77766609179,9589.280732442863,4581.632146911451,1729.1204355759678,2744.5185576469976,637.0895097402315
2022-09-20,502503.8806929032,-0.001396118035422278,407609.18255365425,59681.55810510811,35213.1400341408,40391.69315157587,9594.542340526506,4554.994750708477,1752.320946550547,2754.055777975629,633.9511377710679
2022-09-21,502475.4668152002,-0.0014525836860690422,407633.4450049967,59626.78575582259,35215.236054380926,40399.983447566054,9515.618219271833,4602.942063873829,1729.120435575968,2757.723939640487,621.3976498944131
2022-09-22,502365.0750179162,-0.0016719604541705069,407657.70890053274,59490.033917999295,35217.33219938416,40399.0268749518,9439.324902058983,4581.63214691145,1699.0962449029837,2753.3221456426572,617.6316035314167
2022-09-23,502274.50219214644,-0.00185195185103193,407681.97424034827,59373.09948264024,35219.42846915793,40358.53196761515,9418.278469724402,4539.012312986692,1689.5430933252158,2765.7938953031753,601.9397436855982
2022-09-26,502010.5032427575,-0.002376585362977801,407706.2410245292,59082.73735451866,35221.52486370967,40262.236991113816,9352.508368678842,4464.427603618366,1659.5189026522312,2740.8503959821387,603.1950924732637
