date,total,drawdown,rebalance,trade_cost,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2023-06-27,101874.12727638039,-0.02384353763831426,False,0.0,6928.334816498785,35032.44662967903,29361.17019724361,14070.321808424158,5796.173692170786,8580.585532881094,2105.0945994829344
2023-06-28,102027.19098859795,-0.022376883289179084,False,0.0,6928.747217380719,35038.43567308777,29426.617219137715,14132.511076085702,5855.15782065285,8550.997306905643,2094.7246753475506
2023-06-29,101861.53422899134,-0.02396420404222166,False,0.0,6929.159642810325,35029.17987872881,29279.361419875975,14085.869125339545,5882.6837472778125,8566.77769409255,2088.50272086632
2023-06-30,102230.17936805885,-0.020431851476955476,False,0.0,6929.572092789063,35077.636684490404,29467.52160782153,14163.605709916472,5910.209673902776,8578.612984482732,2103.0206146558576
2023-07-03,102881.8185394625,-0.0141878540528797,True,9.177116058683957,7201.727297762377,36008.63648881188,30864.545561838753,13374.636410130128,5144.090926973126,8230.545483157002,2057.6363707892506
2023-07-04,102958.28731329615,-0.013455131331789882,False,0.0,7202.155972006291,36002.491350934295,30923.786532206967,13360.130296887037,5123.8119877077925,8241.877119893796,2104.0340536599883
2023-07-05,102734.09102072359,-0.015603377070754765,False,0.0,7202.58467176653,36055.28367179169,30695.285646501,13331.118070400855,5120.432164496903,8247.542938262191,2081.8438575044183
2023-07-06,102452.13179422748,-0.01830510643448191,False,0.0,7203.013397044611,36067.29462309787,30458.321765028155,13287.59973067158,5110.292694864236,8243.765726016594,2081.8438575044183
2023-07-07,102312.68722755324,-0.01964126232155028,False,0.0,7203.4421478420545,36070.92584093462,30365.22881159239,13316.611957157762,5076.494462755346,8232.4340892798,2047.5499179912638
2023-07-10,102468.32987395678,-0.018149896661123877,False,0.0,7203.870924160378,36068.69124534277,30500.636743862593,13345.624183643944,5042.696230646456,8253.208756630589,2053.601789670056
2023-07-11,102791.4346116803,-0.015053911584433921,False,0.0,7204.299726001102,36073.160436526465,30720.674633801664,13360.130296887035,5066.35499312268,8260.763181121783,2106.051344219586
2023-07-12,102610.27804892854,-0.016789751234373873,False,0.0,7204.728553365744,36072.322463179524,30559.877714230803,13374.636410130126,5090.013755598902,8255.097362753388,2053.6017896700564
2023-07-13,103438.40292945008,-0.008854670214533567,False,0.0,7205.157406255826,36067.29462309786,31093.046447544715,13534.203655804129,5123.8119877077925,8324.975789296943,2089.913019742808
2023-07-14,103426.61824648765,-0.00896759088181398,False,0.0,7205.586284672864,36055.84232068965,31076.12045601094,13592.228108776495,5113.6725180751255,8287.203666840967,2095.9648914215995
2023-07-17,103159.13349698561,-0.011530626009479295,False,0.0,7206.01518861838,36081.54016999589,30839.156574538087,13490.685316074856,5140.711103762238,8321.198577051346,2079.826566944821
2023-07-18,103154.53600007144,-0.011574679160592627,False,0.0,7206.444118093893,36104.44477481233,30788.37859993676,13461.673089588672,5164.369866238462,8351.416275016125,2077.8092763852237
2023-07-19,103404.3232606802,-0.00918122112391806,False,0.0,7206.873073100922,36113.94180607767,30771.45260840299,13563.21588229031,5245.4856232998,8447.735187278862,2055.6190802296533
2023-07-20,103000.75860318099,-0.013048172026279059,False,0.0,7207.302053640988,36113.103832730725,30534.488726930136,13476.179202831761,5208.30756798002,8442.069368910466,2019.3078501569016
2023-07-21,102977.63118520155,-0.01326977862180967,False,0.0,7207.731059715609,36150.25398444519,30551.414718463908,13461.67308958867,5191.408451925576,8409.963064822889,2005.1868162397207
2023-07-24,102857.27790077074,-0.014423002109504979,False,0.0,7208.160091326306,36160.3096646085,30407.543790426822,13490.685316074854,5208.30756798002,8389.188397472102,1993.0830728821368
2023-07-25,103940.2978609496,-0.0040455200023242766,False,0.0,7208.5891484746,36067.853271995824,31355.39931631822,13737.289241207403,5198.168098347353,8347.63906277053,2025.3597218356936
2023-07-26,103888.27452799024,-0.004544006850943805,False,0.0,7209.018231162009,36074.55705877137,31279.232354416235,13708.27701472122,5208.30756798002,8383.522579103706,2025.3597218356936
2023-07-27,103911.37102635838,-0.004322696526696257,False,0.0,7209.447339390054,36105.84139705723,31245.380371348685,13737.289241207403,5221.826860823577,8400.520034208896,1991.0657823225395
2023-07-28,104824.77134997623,0.0,False,0.0,7209.876473160256,36080.42287219997,32057.827964969885,13969.387053096863,5184.648805503798,8317.421364805748,2005.1868162397204
2023-07-31,105066.97243553335,0.0,False,0.0,7210.305632474135,36047.183262771236,32193.235897240087,14056.423732555411,5201.547921558243,8326.864395419741,2031.4115935144853
2023-08-01,105011.26331210832,-0.0005302248854577307,False,0.0,7210.73481733321,36073.43976097544,32040.901973436114,14056.423732555411,5235.346153667134,8358.970699507321,2035.44617463368
2023-08-02,104584.18923155408,-0.004595004431820815,False,0.0,7211.164027739003,36074.83638322034,31795.475096196376,13911.362600124497,5194.788275136465,8357.08209338452,2039.4807557528745
2023-08-03,104855.05357502772,-0.0020169883607872308,False,0.0,7211.593263693036,36090.757876812255,32100.142943804327,13940.37482661068,5147.4707501840185,8321.198577051344,2043.5153368720692
2023-08-04,105050.6121228551,-0.00015571318273477353,False,0.0,7212.022525196827,36103.04815256741,32277.865854908967,13954.88093985377,5157.6102198166855,8311.75554643735,2033.428884074083
2023-08-07,104651.63081715225,-0.003953113035934597,False,0.0,7212.4518122518975,36118.690321710346,32015.512986135454,13824.32592066595,5130.571634129573,8328.75300154254,2021.3251407164992
2023-08-08,104625.32743336466,-0.004203461772344097,False,0.0,7212.881124859769,36126.23208183284,31888.568049632144,13882.350373638315,5167.749689449352,8336.307426033734,2011.2386879185126
2023-08-09,104439.67169050984,-0.005970484639294282,False,0.0,7213.310463021963,36133.21519305735,31820.864083497043,13780.807580936676,5167.749689449352,8330.641607665339,1993.0830728821368
2023-08-10,104418.85468031399,-0.006168615504905883,False,0.0,7213.73982674,36118.96964615933,31863.17906233148,13780.807580936676,5140.71110376224,8302.312515823358,1999.1349445609287
2023-08-11,103479.77019671757,-0.015106576329584898,False,0.0,7214.169216015402,36129.5839752206,31059.194464477165,13635.746448505764,5144.09092697313,8338.196032156535,1958.7891333689824
2023-08-14,103246.45469488512,-0.017327212333687947,False,0.0,7214.598630849688,36148.01938885333,30830.6935787712,13606.734222019582,5154.230396605796,8349.527668893328,1942.650808892204
2023-08-15,103396.8380842953,-0.015895902513635263,False,0.0,7215.028071244381,36224.27496342513,30796.84159570365,13693.77090147813,5208.30756798002,8368.413730121314,1890.2012543426742
2023-08-16,102996.65355337603,-0.019704754350160947,False,0.0,7215.457537201002,36244.10699930278,30542.951722697027,13621.240335262673,5150.850573394907,8372.190942366911,1849.8554431507282
2023-08-17,103057.01245029332,-0.019130274135131242,False,0.0,7215.887028721074,36232.37537244558,30652.970667666563,13606.734222019582,5120.432164496905,8364.636517875717,1863.9764770679092
2023-08-18,102525.85882769557,-0.02418565557694108,False,0.0,7216.316545806117,36251.0901105273,30229.82087932219,13577.721995533402,5059.595346700903,8349.527668893326,1841.786280912339
2023-08-21,102046.64581273175,-0.028746679882251325,False,0.0,7216.746088457652,36284.88836885399,29789.74509944404,13476.179202831763,5079.874285966236,8381.633972980904,1817.5787941971714
2023-08-22,102444.93451076542,-0.02495587208793648,False,0.0,7217.175656677203,36264.218359629405,29984.394002082456,13664.758674991946,5100.153225231571,8368.413730121314,1845.8208620315336
